Year_x,Player,Tm,Pos,Age,G,GS,MP,PER,AST,TOV,STL,BLK,TRB,PTS,FG%,PPG,MPG,PACE,height_x,weight_x,HeightxWeight,year_start,year_end,career
2004,Eddie Gill,POR,PG,25.0,22.0,0.0,157.0,13.2,16.0,12.0,9.0,1.0,17.0,50.0,0.417,2.272727272727273,7.136363636363638,87.57,183.0,86.0,15738.0,2001,2009,4
2002,Eddie Gill,MEM,PG,23.0,23.0,5.0,384.0,9.2,49.0,34.0,11.0,3.0,28.0,116.0,0.424,5.043478260869565,16.695652173913047,92.58,183.0,86.0,15738.0,2001,2009,2
2005,David Harrison,IND,C,22.0,43.0,14.0,760.0,12.9,13.0,53.0,16.0,55.0,135.0,264.0,0.5760000000000001,6.1395348837209305,17.674418604651166,88.74,213.0,127.0,27051.0,2005,2008,1
2006,David Harrison,IND,C,23.0,67.0,17.0,1034.0,11.8,14.0,79.0,23.0,59.0,254.0,385.0,0.503,5.746268656716418,15.432835820895527,90.86,213.0,127.0,27051.0,2005,2008,2
2007,David Harrison,IND,C,24.0,24.0,2.0,190.0,7.0,6.0,26.0,5.0,12.0,42.0,71.0,0.517,2.958333333333333,7.916666666666668,93.45,213.0,127.0,27051.0,2005,2008,3
2008,David Harrison,IND,C,25.0,55.0,0.0,702.0,8.6,14.0,58.0,20.0,59.0,118.0,229.0,0.529,4.163636363636364,12.763636363636365,98.65,213.0,127.0,27051.0,2005,2008,4
2005,James Jones,IND,SF,24.0,75.0,24.0,1330.0,10.5,57.0,43.0,31.0,28.0,174.0,371.0,0.396,4.946666666666666,17.733333333333334,88.74,190.0,81.0,15390.0,2004,2017,2
2008,James Jones,POR,SF,27.0,58.0,3.0,1276.0,13.6,34.0,28.0,24.0,15.0,161.0,463.0,0.4370000000000001,7.982758620689656,22.0,89.13,190.0,81.0,15390.0,2004,2017,5
2009,James Jones,MIA,SF,28.0,40.0,1.0,630.0,8.4,20.0,12.0,12.0,14.0,62.0,169.0,0.369,4.225,15.75,90.83,190.0,81.0,15390.0,2004,2017,6
2010,James Jones,MIA,SF,29.0,36.0,6.0,503.0,8.8,17.0,11.0,11.0,4.0,45.0,146.0,0.361,4.055555555555555,13.972222222222221,90.34,190.0,81.0,15390.0,2004,2017,7
2011,James Jones,MIA,SF,30.0,81.0,8.0,1549.0,11.1,43.0,21.0,29.0,19.0,160.0,475.0,0.422,5.864197530864197,19.123456790123452,91.66,190.0,81.0,15390.0,2004,2017,8
2012,James Jones,MIA,SG,31.0,51.0,10.0,666.0,9.7,19.0,10.0,17.0,9.0,49.0,185.0,0.38,3.627450980392157,13.058823529411766,92.09,190.0,81.0,15390.0,2004,2017,9
2013,James Jones,MIA,SF,32.0,38.0,0.0,221.0,8.1,13.0,3.0,2.0,6.0,22.0,60.0,0.344,1.5789473684210529,5.815789473684211,91.27,190.0,81.0,15390.0,2004,2017,10
2015,James Jones,CLE,SF,34.0,57.0,2.0,669.0,11.1,24.0,13.0,13.0,8.0,62.0,250.0,0.368,4.385964912280701,11.73684210526316,92.23,190.0,81.0,15390.0,2004,2017,12
2016,James Jones,CLE,SF,35.0,48.0,0.0,463.0,11.6,14.0,13.0,11.0,10.0,50.0,178.0,0.408,3.7083333333333335,9.645833333333334,93.84,190.0,81.0,15390.0,2004,2017,13
2017,James Jones,CLE,SF,36.0,48.0,2.0,381.0,11.3,14.0,10.0,7.0,10.0,38.0,132.0,0.478,2.75,7.9375,96.75,190.0,81.0,15390.0,2004,2017,14
2006,James Jones,PHO,SF,25.0,75.0,24.0,1772.0,13.2,57.0,35.0,38.0,49.0,253.0,699.0,0.418,9.32,23.626666666666665,96.94,190.0,81.0,15390.0,2004,2017,3
2007,James Jones,PHO,SF,26.0,76.0,7.0,1376.0,10.8,45.0,28.0,28.0,42.0,176.0,485.0,0.368,6.38157894736842,18.105263157894736,96.49,190.0,81.0,15390.0,2004,2017,4
2006,Danny Granger,IND,SF,22.0,78.0,17.0,1765.0,14.7,90.0,80.0,58.0,62.0,384.0,587.0,0.462,7.5256410256410255,22.628205128205128,90.86,206.0,100.0,20600.0,2006,2015,1
2007,Danny Granger,IND,SF,23.0,82.0,57.0,2785.0,13.9,114.0,135.0,67.0,61.0,381.0,1142.0,0.459,13.926829268292684,33.96341463414634,93.45,206.0,100.0,20600.0,2006,2015,2
2008,Danny Granger,IND,SF,24.0,80.0,80.0,2876.0,16.7,166.0,171.0,95.0,84.0,486.0,1567.0,0.446,19.5875,35.95,98.65,206.0,100.0,20600.0,2006,2015,3
2009,Danny Granger,IND,SF,25.0,67.0,66.0,2424.0,21.8,183.0,165.0,69.0,97.0,341.0,1728.0,0.447,25.79104477611941,36.179104477611936,97.36,206.0,100.0,20600.0,2006,2015,4
2010,Danny Granger,IND,SF,26.0,62.0,62.0,2278.0,19.8,171.0,157.0,94.0,51.0,342.0,1497.0,0.428,24.14516129032258,36.74193548387097,97.78,206.0,100.0,20600.0,2006,2015,5
2011,Danny Granger,IND,SF,27.0,79.0,79.0,2763.0,17.8,203.0,206.0,89.0,62.0,425.0,1622.0,0.425,20.531645569620245,34.9746835443038,95.53,206.0,100.0,20600.0,2006,2015,6
2012,Danny Granger,IND,SF,28.0,62.0,62.0,2062.0,18.6,109.0,110.0,62.0,40.0,307.0,1159.0,0.416,18.693548387096776,33.25806451612903,91.69,206.0,100.0,20600.0,2006,2015,7
2014,Danny Granger,IND,SF,30.0,29.0,2.0,653.0,10.3,33.0,36.0,9.0,13.0,105.0,242.0,0.359,8.344827586206897,22.517241379310345,92.89,206.0,100.0,20600.0,2006,2015,9
2015,Danny Granger,MIA,SF,31.0,30.0,6.0,613.0,8.6,17.0,24.0,13.0,6.0,80.0,188.0,0.401,6.2666666666666675,20.433333333333334,91.49,206.0,100.0,20600.0,2006,2015,10
2006,Sarunas Jasikevicius,IND,PG,29.0,75.0,15.0,1557.0,12.9,227.0,116.0,40.0,4.0,153.0,547.0,0.396,7.293333333333332,20.76,90.86,193.0,88.0,16984.0,2006,2007,1
2007,Sarunas Jasikevicius,IND,SG,30.0,37.0,1.0,664.0,12.9,111.0,59.0,13.0,0.0,48.0,273.0,0.412,7.378378378378378,17.94594594594595,93.45,193.0,88.0,16984.0,2006,2007,2
2007,Sarunas Jasikevicius,GSW,PG,30.0,26.0,2.0,309.0,11.3,61.0,31.0,13.0,1.0,21.0,113.0,0.366,4.346153846153847,11.884615384615385,99.97,193.0,88.0,16984.0,2006,2007,2
2007,Darrell Armstrong,IND,PG,38.0,81.0,4.0,1275.0,15.1,191.0,76.0,70.0,6.0,135.0,457.0,0.414,5.641975308641976,15.74074074074074,93.45,183.0,77.0,14091.0,1995,2008,13
1997,Darrell Armstrong,ORL,PG,28.0,67.0,0.0,1010.0,14.7,175.0,99.0,61.0,9.0,76.0,411.0,0.383,6.134328358208956,15.07462686567164,89.94,183.0,77.0,14091.0,1995,2008,3
1998,Darrell Armstrong,ORL,PG,29.0,48.0,17.0,1236.0,15.7,236.0,112.0,58.0,5.0,159.0,442.0,0.411,9.208333333333334,25.75,88.56,183.0,77.0,14091.0,1995,2008,4
1999,Darrell Armstrong,ORL,PG,30.0,50.0,15.0,1502.0,22.2,335.0,158.0,108.0,4.0,180.0,690.0,0.441,13.8,30.04,89.96,183.0,77.0,14091.0,1995,2008,5
2000,Darrell Armstrong,ORL,PG,31.0,82.0,82.0,2590.0,19.5,501.0,248.0,169.0,9.0,270.0,1330.0,0.433,16.219512195121947,31.585365853658534,98.71,183.0,77.0,14091.0,1995,2008,6
2001,Darrell Armstrong,ORL,PG,32.0,75.0,75.0,2767.0,18.6,524.0,200.0,135.0,13.0,343.0,1189.0,0.412,15.853333333333332,36.89333333333333,94.21,183.0,77.0,14091.0,1995,2008,7
2002,Darrell Armstrong,ORL,PG,33.0,82.0,79.0,2730.0,16.7,453.0,175.0,157.0,10.0,319.0,1015.0,0.419,12.378048780487804,33.292682926829265,94.42,183.0,77.0,14091.0,1995,2008,8
2003,Darrell Armstrong,ORL,PG,34.0,82.0,23.0,2350.0,14.6,323.0,160.0,135.0,13.0,295.0,769.0,0.409,9.378048780487807,28.65853658536585,94.35,183.0,77.0,14091.0,1995,2008,9
2008,Darrell Armstrong,NJN,PG,39.0,50.0,2.0,549.0,8.7,73.0,41.0,28.0,2.0,67.0,123.0,0.364,2.46,10.98,92.97,183.0,77.0,14091.0,1995,2008,14
2006,Darrell Armstrong,DAL,PG,37.0,62.0,2.0,622.0,7.3,86.0,58.0,27.0,3.0,81.0,130.0,0.336,2.096774193548387,10.03225806451613,89.31,183.0,77.0,14091.0,1995,2008,12
2004,Darrell Armstrong,NOH,PG,35.0,79.0,22.0,2247.0,15.6,311.0,155.0,133.0,16.0,226.0,840.0,0.395,10.632911392405065,28.44303797468355,90.6,183.0,77.0,14091.0,1995,2008,10
2007,Maceo Baston,IND,PF,31.0,47.0,2.0,405.0,13.7,16.0,32.0,12.0,18.0,74.0,138.0,0.645,2.936170212765957,8.617021276595745,93.45,206.0,97.0,19982.0,2003,2009,5
2009,Maceo Baston,IND,PF,33.0,27.0,0.0,217.0,12.3,7.0,12.0,6.0,10.0,52.0,67.0,0.5429999999999999,2.4814814814814814,8.037037037037036,97.36,206.0,97.0,19982.0,2003,2009,7
2007,Marquis Daniels,IND,SG,26.0,45.0,4.0,800.0,11.6,57.0,55.0,27.0,7.0,82.0,320.0,0.459,7.111111111111112,17.777777777777782,93.45,198.0,90.0,17820.0,2004,2013,4
2008,Marquis Daniels,IND,SG,27.0,74.0,1.0,1546.0,11.6,137.0,112.0,79.0,18.0,212.0,606.0,0.43,8.189189189189191,20.89189189189189,98.65,198.0,90.0,17820.0,2004,2013,5
2009,Marquis Daniels,IND,SF,28.0,54.0,43.0,1700.0,12.8,114.0,94.0,62.0,26.0,248.0,733.0,0.451,13.574074074074074,31.48148148148148,97.36,198.0,90.0,17820.0,2004,2013,6
2013,Marquis Daniels,MIL,SF,32.0,59.0,33.0,1085.0,9.2,65.0,45.0,51.0,10.0,150.0,324.0,0.376,5.491525423728813,18.389830508474574,95.67,198.0,90.0,17820.0,2004,2013,10
2010,Marquis Daniels,BOS,SF,29.0,51.0,4.0,937.0,9.6,66.0,42.0,27.0,6.0,95.0,288.0,0.498,5.647058823529411,18.37254901960784,92.23,198.0,90.0,17820.0,2004,2013,7
2011,Marquis Daniels,BOS,SF,30.0,49.0,0.0,938.0,11.7,64.0,38.0,39.0,22.0,113.0,271.0,0.491,5.530612244897959,19.142857142857142,90.94,198.0,90.0,17820.0,2004,2013,8
2012,Marquis Daniels,BOS,SG,31.0,38.0,0.0,484.0,8.1,47.0,28.0,21.0,9.0,66.0,121.0,0.364,3.1842105263157894,12.73684210526316,91.13,198.0,90.0,17820.0,2004,2013,9
2004,Marquis Daniels,DAL,SG,23.0,56.0,15.0,1039.0,20.1,116.0,44.0,53.0,12.0,146.0,477.0,0.494,8.517857142857142,18.553571428571427,94.65,198.0,90.0,17820.0,2004,2013,1
2006,Marquis Daniels,DAL,SG,25.0,62.0,29.0,1766.0,14.9,172.0,100.0,67.0,13.0,224.0,634.0,0.48,10.225806451612904,28.483870967741932,89.31,198.0,90.0,17820.0,2004,2013,3
2007,Ike Diogu,IND,PF,23.0,42.0,2.0,538.0,13.5,20.0,49.0,5.0,15.0,140.0,243.0,0.454,5.7857142857142865,12.809523809523812,93.45,203.0,113.0,22939.0,2006,2012,2
2008,Ike Diogu,IND,PF,24.0,30.0,1.0,305.0,17.2,10.0,20.0,7.0,3.0,85.0,168.0,0.478,5.6,10.166666666666666,98.65,203.0,113.0,22939.0,2006,2012,3
2006,Ike Diogu,GSW,PF,22.0,69.0,14.0,1031.0,15.8,29.0,78.0,15.0,30.0,229.0,486.0,0.524,7.043478260869565,14.942028985507244,94.45,203.0,113.0,22939.0,2006,2012,1
2011,Ike Diogu,LAC,PF,27.0,36.0,0.0,470.0,13.7,2.0,22.0,3.0,3.0,115.0,207.0,0.561,5.75,13.055555555555555,93.36,203.0,113.0,22939.0,2006,2012,6
2007,Mike Dunleavy,IND,SG,26.0,43.0,43.0,1529.0,13.8,111.0,78.0,46.0,10.0,244.0,603.0,0.454,14.023255813953488,35.55813953488372,93.45,190.0,81.0,15390.0,2003,2017,5
2008,Mike Dunleavy,IND,SG,27.0,82.0,82.0,2953.0,17.3,288.0,190.0,86.0,31.0,424.0,1565.0,0.476,19.085365853658537,36.012195121951216,98.65,190.0,81.0,15390.0,2003,2017,6
2010,Mike Dunleavy,IND,SF,29.0,67.0,15.0,1486.0,13.1,103.0,72.0,38.0,15.0,236.0,666.0,0.41,9.940298507462687,22.179104477611943,97.78,190.0,81.0,15390.0,2003,2017,8
2011,Mike Dunleavy,IND,SG,30.0,61.0,44.0,1683.0,14.6,105.0,69.0,40.0,30.0,276.0,682.0,0.462,11.18032786885246,27.590163934426233,95.53,190.0,81.0,15390.0,2003,2017,9
2012,Mike Dunleavy,MIL,SF,31.0,55.0,3.0,1445.0,16.6,117.0,58.0,28.0,8.0,204.0,677.0,0.474,12.309090909090907,26.272727272727273,94.68,190.0,81.0,15390.0,2003,2017,10
2013,Mike Dunleavy,MIL,SF,32.0,75.0,3.0,1943.0,13.6,145.0,90.0,39.0,35.0,291.0,785.0,0.442,10.466666666666667,25.906666666666666,95.67,190.0,81.0,15390.0,2003,2017,11
2003,Mike Dunleavy,GSW,SF,22.0,82.0,3.0,1305.0,12.5,106.0,86.0,53.0,19.0,214.0,466.0,0.403,5.682926829268293,15.914634146341465,95.88,190.0,81.0,15390.0,2003,2017,1
2004,Mike Dunleavy,GSW,SF,23.0,75.0,69.0,2336.0,15.1,220.0,143.0,68.0,13.0,442.0,877.0,0.449,11.693333333333333,31.14666666666667,90.97,190.0,81.0,15390.0,2003,2017,2
2005,Mike Dunleavy,GSW,SF,24.0,79.0,79.0,2570.0,14.5,203.0,132.0,79.0,26.0,435.0,1057.0,0.451,13.379746835443036,32.53164556962025,94.49,190.0,81.0,15390.0,2003,2017,3
2006,Mike Dunleavy,GSW,SF,25.0,81.0,68.0,2578.0,12.5,237.0,120.0,60.0,32.0,399.0,932.0,0.406,11.50617283950617,31.82716049382716,94.45,190.0,81.0,15390.0,2003,2017,4
2007,Mike Dunleavy,GSW,PF,26.0,39.0,6.0,1051.0,14.6,117.0,71.0,38.0,12.0,187.0,446.0,0.449,11.435897435897436,26.948717948717945,99.97,190.0,81.0,15390.0,2003,2017,5
2017,Mike Dunleavy,ATL,SF,36.0,30.0,0.0,475.0,11.9,30.0,14.0,9.0,5.0,68.0,169.0,0.438,5.633333333333334,15.833333333333336,97.97,190.0,81.0,15390.0,2003,2017,15
2017,Mike Dunleavy,CLE,SF,36.0,23.0,2.0,366.0,7.6,20.0,14.0,6.0,2.0,47.0,106.0,0.4,4.608695652173913,15.91304347826087,96.75,190.0,81.0,15390.0,2003,2017,15
2014,Mike Dunleavy,CHI,SF,33.0,82.0,61.0,2584.0,12.6,186.0,108.0,64.0,46.0,345.0,929.0,0.43,11.329268292682926,31.51219512195122,90.88,190.0,81.0,15390.0,2003,2017,12
2015,Mike Dunleavy,CHI,SF,34.0,63.0,63.0,1838.0,11.6,114.0,60.0,39.0,21.0,248.0,595.0,0.435,9.444444444444443,29.17460317460317,93.81,190.0,81.0,15390.0,2003,2017,13
2016,Mike Dunleavy,CHI,SF,35.0,31.0,30.0,703.0,9.1,39.0,26.0,14.0,10.0,83.0,222.0,0.41,7.161290322580645,22.677419354838708,96.63,190.0,81.0,15390.0,2003,2017,14
2007,Orien Greene,IND,SG,24.0,41.0,0.0,254.0,6.5,22.0,28.0,17.0,4.0,44.0,63.0,0.371,1.5365853658536586,6.195121951219512,93.45,193.0,94.0,18142.0,2006,2011,2
2006,Orien Greene,BOS,PG,23.0,80.0,5.0,1235.0,6.4,129.0,109.0,77.0,10.0,145.0,254.0,0.395,3.175,15.4375,93.3,193.0,94.0,18142.0,2006,2011,1
2007,Rawle Marshall,IND,SG,24.0,40.0,2.0,361.0,6.7,13.0,19.0,12.0,5.0,29.0,99.0,0.36,2.475,9.025,93.45,206.0,86.0,17716.0,2006,2007,2
2006,Rawle Marshall,DAL,SF,23.0,23.0,9.0,241.0,10.1,10.0,15.0,8.0,7.0,31.0,71.0,0.4,3.0869565217391304,10.478260869565217,89.31,206.0,86.0,17716.0,2006,2007,1
2007,Keith McLeod,IND,PG,27.0,22.0,7.0,339.0,8.0,45.0,23.0,7.0,2.0,22.0,93.0,0.386,4.227272727272728,15.409090909090908,93.45,188.0,85.0,15980.0,2004,2007,4
2005,Keith McLeod,UTA,PG,25.0,53.0,47.0,1382.0,10.4,236.0,99.0,63.0,12.0,113.0,416.0,0.35,7.849056603773584,26.075471698113212,90.02,188.0,85.0,15980.0,2004,2007,2
2006,Keith McLeod,UTA,PG,26.0,66.0,32.0,1232.0,8.6,151.0,76.0,42.0,9.0,78.0,370.0,0.353,5.606060606060606,18.666666666666668,89.43,188.0,85.0,15980.0,2004,2007,3
2007,Keith McLeod,GSW,PG,27.0,26.0,2.0,379.0,12.3,45.0,23.0,17.0,3.0,21.0,138.0,0.39,5.307692307692308,14.576923076923075,99.97,188.0,85.0,15980.0,2004,2007,4
2004,Keith McLeod,MIN,PG,24.0,33.0,0.0,391.0,8.1,59.0,29.0,16.0,1.0,34.0,88.0,0.329,2.6666666666666665,11.848484848484848,90.25,188.0,85.0,15980.0,2004,2007,1
2007,Troy Murphy,IND,PF,26.0,42.0,31.0,1185.0,14.3,66.0,49.0,25.0,25.0,257.0,467.0,0.461,11.11904761904762,28.214285714285715,93.45,211.0,111.0,23421.0,2002,2013,6
2008,Troy Murphy,IND,PF,27.0,75.0,61.0,2106.0,16.0,165.0,96.0,49.0,32.0,543.0,916.0,0.455,12.213333333333333,28.08,98.65,211.0,111.0,23421.0,2002,2013,7
2009,Troy Murphy,IND,PF,28.0,73.0,73.0,2482.0,17.8,172.0,114.0,58.0,34.0,861.0,1041.0,0.475,14.26027397260274,34.0,97.36,211.0,111.0,23421.0,2002,2013,8
2010,Troy Murphy,IND,PF,29.0,72.0,69.0,2344.0,18.0,150.0,100.0,72.0,34.0,737.0,1050.0,0.472,14.583333333333336,32.55555555555556,97.78,211.0,111.0,23421.0,2002,2013,9
2002,Troy Murphy,GSW,PF,21.0,82.0,4.0,1448.0,10.3,70.0,84.0,36.0,21.0,322.0,480.0,0.421,5.853658536585367,17.658536585365855,95.76,211.0,111.0,23421.0,2002,2013,1
2003,Troy Murphy,GSW,PF,22.0,79.0,79.0,2510.0,15.9,106.0,111.0,65.0,30.0,806.0,923.0,0.451,11.683544303797467,31.772151898734172,95.88,211.0,111.0,23421.0,2002,2013,2
2004,Troy Murphy,GSW,PF,23.0,28.0,0.0,610.0,16.8,20.0,34.0,12.0,17.0,173.0,279.0,0.44,9.964285714285714,21.785714285714285,90.97,211.0,111.0,23421.0,2002,2013,3
2005,Troy Murphy,GSW,PF,24.0,70.0,69.0,2375.0,16.8,97.0,108.0,53.0,33.0,756.0,1076.0,0.414,15.371428571428574,33.92857142857143,94.49,211.0,111.0,23421.0,2002,2013,4
2006,Troy Murphy,GSW,PF,25.0,74.0,74.0,2516.0,15.9,101.0,108.0,47.0,26.0,743.0,1035.0,0.433,13.986486486486484,34.0,94.45,211.0,111.0,23421.0,2002,2013,5
2007,Troy Murphy,GSW,PF,26.0,26.0,17.0,667.0,14.8,60.0,29.0,21.0,17.0,157.0,231.0,0.45,8.884615384615385,25.653846153846153,99.97,211.0,111.0,23421.0,2002,2013,6
2012,Troy Murphy,LAL,PF,31.0,59.0,0.0,956.0,9.0,51.0,26.0,15.0,16.0,191.0,188.0,0.45,3.1864406779661016,16.203389830508474,91.74,211.0,111.0,23421.0,2002,2013,11
2007,Shawne Williams,IND,SG,20.0,46.0,3.0,556.0,9.7,22.0,24.0,6.0,8.0,83.0,180.0,0.469,3.9130434782608696,12.08695652173913,93.45,185.0,91.0,16835.0,2007,2015,1
2008,Shawne Williams,IND,SF,21.0,65.0,3.0,967.0,12.8,59.0,58.0,26.0,26.0,176.0,437.0,0.4270000000000001,6.723076923076923,14.876923076923076,98.65,185.0,91.0,16835.0,2007,2015,2
2015,Shawne Williams,MIA,SF,28.0,44.0,22.0,924.0,11.2,36.0,23.0,21.0,17.0,139.0,292.0,0.425,6.636363636363638,21.0,91.49,185.0,91.0,16835.0,2007,2015,9
2014,Shawne Williams,LAL,PF,27.0,36.0,13.0,751.0,9.5,30.0,21.0,19.0,30.0,167.0,202.0,0.38,5.611111111111112,20.86111111111111,99.72,185.0,91.0,16835.0,2007,2015,8
2012,Shawne Williams,NJN,SF,25.0,25.0,6.0,514.0,4.9,16.0,13.0,10.0,11.0,68.0,113.0,0.28600000000000003,4.52,20.56,91.27,185.0,91.0,16835.0,2007,2015,6
2011,Shawne Williams,NYK,PF,24.0,64.0,11.0,1323.0,12.2,47.0,46.0,39.0,51.0,239.0,454.0,0.426,7.09375,20.671875,96.47,185.0,91.0,16835.0,2007,2015,5
2008,Travis Diener,IND,PG,25.0,66.0,21.0,1356.0,12.2,251.0,55.0,35.0,4.0,115.0,456.0,0.37,6.909090909090909,20.545454545454547,98.65,185.0,79.0,14615.0,2006,2010,3
2009,Travis Diener,IND,PG,26.0,55.0,0.0,719.0,13.7,122.0,21.0,26.0,5.0,86.0,206.0,0.413,3.7454545454545456,13.072727272727272,97.36,185.0,79.0,14615.0,2006,2010,4
2006,Travis Diener,ORL,PG,23.0,23.0,0.0,246.0,12.6,16.0,10.0,7.0,0.0,21.0,88.0,0.42,3.8260869565217392,10.695652173913043,89.15,185.0,79.0,14615.0,2006,2010,1
2007,Travis Diener,ORL,PG,24.0,26.0,0.0,288.0,11.6,35.0,13.0,4.0,0.0,18.0,98.0,0.425,3.7692307692307687,11.076923076923077,90.56,185.0,79.0,14615.0,2006,2010,2
2008,Stephen Graham,IND,SF,25.0,22.0,0.0,128.0,21.9,9.0,10.0,4.0,1.0,22.0,87.0,0.586,3.954545454545455,5.8181818181818175,98.65,198.0,97.0,19206.0,2006,2011,3
2009,Stephen Graham,IND,SG,26.0,52.0,6.0,684.0,8.5,33.0,45.0,10.0,4.0,96.0,282.0,0.414,5.4230769230769225,13.153846153846152,97.36,198.0,97.0,19206.0,2006,2011,4
2011,Stephen Graham,NJN,SG,28.0,59.0,28.0,959.0,4.4,40.0,38.0,14.0,1.0,123.0,198.0,0.405,3.3559322033898304,16.25423728813559,90.74,198.0,97.0,19206.0,2006,2011,6
2010,Stephen Graham,CHA,SG,27.0,70.0,8.0,804.0,11.2,23.0,36.0,20.0,10.0,135.0,296.0,0.496,4.228571428571429,11.485714285714286,90.94,198.0,97.0,19206.0,2006,2011,5
2008,Ronald Murray,IND,PG,28.0,23.0,17.0,527.0,13.1,80.0,53.0,25.0,3.0,47.0,254.0,0.425,11.043478260869565,22.91304347826087,98.65,193.0,86.0,16598.0,2003,2010,6
2009,Ronald Murray,ATL,SG,29.0,80.0,2.0,1975.0,14.7,158.0,128.0,88.0,17.0,168.0,974.0,0.447,12.175,24.6875,90.45,193.0,86.0,16598.0,2003,2010,7
2006,Ronald Murray,CLE,SG,26.0,28.0,25.0,1027.0,11.9,77.0,56.0,38.0,7.0,67.0,377.0,0.448,13.464285714285715,36.67857142857143,90.78,193.0,86.0,16598.0,2003,2010,4
2010,Ronald Murray,CHI,SG,30.0,29.0,1.0,680.0,12.1,51.0,26.0,18.0,4.0,85.0,292.0,0.397,10.06896551724138,23.448275862068964,94.05,193.0,86.0,16598.0,2003,2010,8
2004,Ronald Murray,SEA,PG,24.0,82.0,18.0,2021.0,15.4,205.0,149.0,81.0,28.0,204.0,1013.0,0.425,12.353658536585364,24.646341463414632,91.35,193.0,86.0,16598.0,2003,2010,2
2005,Ronald Murray,SEA,SG,25.0,49.0,6.0,883.0,9.9,65.0,57.0,30.0,11.0,98.0,345.0,0.361,7.040816326530613,18.020408163265305,89.25,193.0,86.0,16598.0,2003,2010,3
2006,Ronald Murray,SEA,SG,26.0,48.0,2.0,1085.0,11.2,120.0,79.0,30.0,4.0,86.0,474.0,0.397,9.875,22.60416666666667,93.06,193.0,86.0,16598.0,2003,2010,4
2007,Ronald Murray,DET,SG,27.0,69.0,18.0,1477.0,10.8,187.0,90.0,49.0,13.0,113.0,465.0,0.404,6.7391304347826075,21.405797101449274,88.59,193.0,86.0,16598.0,2003,2010,5
2010,Ronald Murray,CHA,SG,30.0,46.0,1.0,993.0,11.4,84.0,65.0,28.0,12.0,98.0,454.0,0.389,9.869565217391305,21.58695652173913,90.94,193.0,86.0,16598.0,2003,2010,8
2008,Andre Owens,IND,PG,27.0,31.0,7.0,392.0,10.0,47.0,24.0,13.0,3.0,47.0,123.0,0.374,3.967741935483871,12.64516129032258,98.65,193.0,90.0,17370.0,2006,2008,3
2006,Andre Owens,UTA,PG,25.0,23.0,2.0,210.0,5.2,8.0,13.0,5.0,0.0,21.0,69.0,0.365,3.0,9.130434782608695,89.43,193.0,90.0,17370.0,2006,2008,1
2008,Kareem Rush,IND,SG,27.0,71.0,15.0,1504.0,10.0,89.0,62.0,42.0,19.0,168.0,588.0,0.401,8.28169014084507,21.183098591549296,98.65,198.0,97.0,19206.0,2003,2010,6
2003,Kareem Rush,LAL,PG,22.0,76.0,0.0,872.0,5.8,68.0,63.0,10.0,11.0,94.0,227.0,0.393,2.986842105263158,11.473684210526313,93.79,198.0,97.0,19206.0,2003,2010,1
2004,Kareem Rush,LAL,SG,23.0,72.0,15.0,1244.0,10.4,59.0,48.0,33.0,20.0,97.0,459.0,0.44,6.375,17.27777777777778,93.41,198.0,97.0,19206.0,2003,2010,2
2009,Kareem Rush,PHI,SG,28.0,25.0,1.0,199.0,6.3,15.0,10.0,5.0,1.0,15.0,54.0,0.345,2.16,7.96,91.33,198.0,97.0,19206.0,2003,2010,7
2005,Kareem Rush,CHA,SG,24.0,34.0,22.0,877.0,11.0,65.0,44.0,18.0,6.0,79.0,390.0,0.396,11.470588235294118,25.794117647058826,93.56,198.0,97.0,19206.0,2003,2010,3
2006,Kareem Rush,CHA,SG,25.0,47.0,25.0,1111.0,9.8,50.0,65.0,38.0,13.0,103.0,474.0,0.386,10.085106382978724,23.63829787234043,94.6,198.0,97.0,19206.0,2003,2010,4
2009,T.J. Ford,IND,PG,25.0,74.0,49.0,2258.0,16.6,392.0,180.0,89.0,16.0,259.0,1106.0,0.452,14.945945945945946,30.513513513513512,97.36,201.0,92.0,18492.0,2004,2012,6
2010,T.J. Ford,IND,PG,26.0,47.0,32.0,1189.0,13.4,180.0,90.0,44.0,11.0,149.0,484.0,0.445,10.297872340425533,25.29787234042553,97.78,201.0,92.0,18492.0,2004,2012,7
2011,T.J. Ford,IND,PG,27.0,41.0,3.0,773.0,9.9,141.0,63.0,35.0,8.0,81.0,223.0,0.386,5.439024390243904,18.853658536585368,95.53,201.0,92.0,18492.0,2004,2012,8
2004,T.J. Ford,MIL,PG,20.0,55.0,55.0,1472.0,12.1,356.0,139.0,60.0,3.0,177.0,391.0,0.384,7.1090909090909085,26.763636363636362,93.2,201.0,92.0,18492.0,2004,2012,1
2006,T.J. Ford,MIL,PG,22.0,72.0,70.0,2557.0,13.1,473.0,219.0,104.0,7.0,311.0,878.0,0.416,12.194444444444445,35.513888888888886,92.48,201.0,92.0,18492.0,2004,2012,3
2007,T.J. Ford,TOR,PG,23.0,75.0,71.0,2243.0,18.2,595.0,231.0,101.0,8.0,236.0,1047.0,0.436,13.96,29.906666666666666,93.87,201.0,92.0,18492.0,2004,2012,4
2008,T.J. Ford,TOR,PG,24.0,51.0,26.0,1199.0,20.3,313.0,102.0,54.0,0.0,100.0,617.0,0.469,12.098039215686276,23.509803921568626,91.36,201.0,92.0,18492.0,2004,2012,5
