Year_x,Player,Tm,Pos,Age,G,GS,MP,PER,AST,TOV,STL,BLK,TRB,PTS,FG%,PPG,MPG,PACE,height_x,weight_x,HeightxWeight,year_start,year_end,career
1997,Olden Polynice,SAC,C,32.0,82.0,82.0,2893.0,13.1,178.0,166.0,46.0,80.0,772.0,1025.0,0.457,12.5,35.28048780487805,92.53,211.0,99.0,20889.0,1988,2004,10
1998,Olden Polynice,SAC,C,33.0,70.0,25.0,1458.0,14.7,107.0,98.0,37.0,45.0,439.0,550.0,0.459,7.857142857142858,20.82857142857143,93.79,211.0,99.0,20889.0,1988,2004,11
2000,Olden Polynice,UTA,C,35.0,82.0,79.0,1819.0,10.4,37.0,70.0,30.0,84.0,453.0,435.0,0.51,5.3048780487804885,22.182926829268293,90.85,211.0,99.0,20889.0,1988,2004,13
2001,Olden Polynice,UTA,C,36.0,81.0,79.0,1619.0,9.9,31.0,78.0,27.0,77.0,378.0,429.0,0.496,5.296296296296297,19.98765432098765,91.1,211.0,99.0,20889.0,1988,2004,14
1999,Olden Polynice,SEA,C,34.0,48.0,47.0,1481.0,11.8,43.0,49.0,20.0,30.0,425.0,368.0,0.472,7.666666666666668,30.85416666666667,91.26,211.0,99.0,20889.0,1988,2004,12
1997,Kevin Salvadori,SAC,C,26.0,23.0,0.0,154.0,8.3,10.0,12.0,2.0,13.0,25.0,37.0,0.364,1.608695652173913,6.695652173913044,92.53,213.0,104.0,22152.0,1997,1998,1
1997,Michael Smith,SAC,PF,24.0,81.0,52.0,2526.0,13.3,191.0,130.0,82.0,60.0,769.0,532.0,0.539,6.567901234567901,31.18518518518519,92.53,208.0,102.0,21216.0,1995,2001,3
1998,Michael Smith,VAN,PF,25.0,30.0,29.0,706.0,15.0,59.0,36.0,26.0,6.0,206.0,182.0,0.504,6.066666666666666,23.53333333333333,93.63,208.0,102.0,21216.0,1995,2001,4
1999,Michael Smith,VAN,PF,26.0,48.0,10.0,1098.0,14.3,48.0,60.0,46.0,18.0,350.0,230.0,0.535,4.791666666666667,22.875,90.33,208.0,102.0,21216.0,1995,2001,5
2000,Michael Smith,WAS,SF,27.0,46.0,46.0,1145.0,14.5,56.0,45.0,27.0,23.0,331.0,289.0,0.563,6.282608695652174,24.89130434782609,94.36,208.0,102.0,21216.0,1995,2001,6
2001,Michael Smith,WAS,PF,28.0,79.0,29.0,1610.0,14.0,101.0,62.0,57.0,37.0,562.0,301.0,0.486,3.8101265822784818,20.37974683544304,93.98,208.0,102.0,21216.0,1995,2001,7
1997,Corliss Williamson,SAC,SF,23.0,79.0,31.0,1992.0,14.3,124.0,157.0,60.0,49.0,326.0,915.0,0.498,11.58227848101266,25.21518987341772,92.53,188.0,86.0,16168.0,1996,2007,2
1998,Corliss Williamson,SAC,SF,24.0,79.0,75.0,2819.0,16.0,230.0,199.0,76.0,48.0,446.0,1401.0,0.495,17.734177215189874,35.68354430379747,93.79,188.0,86.0,16168.0,1996,2007,3
1999,Corliss Williamson,SAC,SF,25.0,50.0,50.0,1374.0,14.7,66.0,75.0,30.0,8.0,206.0,659.0,0.485,13.18,27.48,97.45,188.0,86.0,16168.0,1996,2007,4
2000,Corliss Williamson,SAC,SF,26.0,76.0,76.0,1707.0,14.0,82.0,110.0,38.0,19.0,290.0,785.0,0.5,10.328947368421053,22.460526315789476,100.75,188.0,86.0,16168.0,1996,2007,5
2005,Corliss Williamson,SAC,PF,31.0,24.0,4.0,471.0,15.4,35.0,26.0,12.0,3.0,81.0,223.0,0.473,9.291666666666666,19.625,94.54,188.0,86.0,16168.0,1996,2007,10
2005,Corliss Williamson,SAC,PF,31.0,24.0,4.0,471.0,15.4,35.0,26.0,12.0,3.0,81.0,223.0,0.473,9.291666666666666,19.625,90.0,188.0,86.0,16168.0,1996,2007,10
2006,Corliss Williamson,SAC,SF,32.0,37.0,0.0,362.0,8.1,14.0,30.0,7.0,4.0,67.0,126.0,0.417,3.4054054054054053,9.783783783783782,93.27,188.0,86.0,16168.0,1996,2007,11
2007,Corliss Williamson,SAC,PF,33.0,68.0,1.0,1337.0,12.7,39.0,97.0,29.0,15.0,221.0,620.0,0.51,9.117647058823527,19.66176470588235,95.85,188.0,86.0,16168.0,1996,2007,12
2001,Corliss Williamson,TOR,SF,27.0,42.0,31.0,886.0,12.1,33.0,65.0,15.0,13.0,153.0,390.0,0.471,9.285714285714286,21.095238095238095,92.26,188.0,86.0,16168.0,1996,2007,6
2001,Corliss Williamson,DET,SF,27.0,27.0,9.0,800.0,18.4,28.0,45.0,35.0,8.0,168.0,411.0,0.534,15.222222222222221,29.62962962962963,96.17,188.0,86.0,16168.0,1996,2007,6
2002,Corliss Williamson,DET,SF,28.0,78.0,7.0,1701.0,20.0,94.0,137.0,49.0,26.0,319.0,1063.0,0.51,13.628205128205128,21.80769230769231,91.4,188.0,86.0,16168.0,1996,2007,7
2003,Corliss Williamson,DET,SF,29.0,82.0,1.0,2061.0,15.7,104.0,126.0,44.0,27.0,358.0,987.0,0.453,12.03658536585366,25.13414634146341,88.31,188.0,86.0,16168.0,1996,2007,8
2004,Corliss Williamson,DET,PF,30.0,79.0,0.0,1574.0,14.4,57.0,113.0,30.0,20.0,256.0,752.0,0.505,9.518987341772153,19.924050632911392,89.35,188.0,86.0,16168.0,1996,2007,9
1998,Tariq Abdul-Wahad,SAC,SG,23.0,59.0,16.0,959.0,10.1,51.0,65.0,35.0,13.0,116.0,376.0,0.403,6.372881355932202,16.25423728813559,93.79,198.0,101.0,19998.0,1998,2003,1
1999,Tariq Abdul-Wahad,SAC,SG,24.0,49.0,49.0,1205.0,11.8,50.0,70.0,50.0,16.0,186.0,454.0,0.435,9.265306122448981,24.59183673469388,97.45,198.0,101.0,19998.0,1998,2003,2
2001,Tariq Abdul-Wahad,DEN,SG,26.0,29.0,12.0,420.0,5.8,22.0,34.0,14.0,13.0,59.0,111.0,0.387,3.827586206896552,14.482758620689655,94.0,198.0,101.0,19998.0,1998,2003,4
2000,Tariq Abdul-Wahad,ORL,SG,25.0,46.0,46.0,1205.0,14.4,72.0,87.0,53.0,16.0,239.0,563.0,0.433,12.23913043478261,26.195652173913047,98.71,198.0,101.0,19998.0,1998,2003,3
1998,Terry Dehere,SAC,PG,26.0,77.0,18.0,1410.0,10.8,196.0,96.0,52.0,4.0,106.0,489.0,0.399,6.350649350649349,18.311688311688307,93.79,188.0,86.0,16168.0,1994,1999,5
1999,Terry Dehere,VAN,SG,27.0,22.0,0.0,271.0,8.3,26.0,14.0,5.0,3.0,22.0,74.0,0.365,3.363636363636364,12.318181818181818,90.33,188.0,86.0,16168.0,1994,1999,6
1997,Terry Dehere,LAC,PG,25.0,73.0,3.0,1053.0,12.4,158.0,96.0,27.0,3.0,95.0,470.0,0.386,6.4383561643835625,14.424657534246574,92.71,188.0,86.0,16168.0,1994,1999,4
1998,Lawrence Funderburke,SAC,PF,27.0,52.0,1.0,1094.0,16.2,63.0,62.0,19.0,15.0,234.0,493.0,0.49,9.48076923076923,21.03846153846154,93.79,206.0,104.0,21424.0,1998,2005,1
1999,Lawrence Funderburke,SAC,PF,28.0,47.0,2.0,936.0,18.5,30.0,52.0,22.0,23.0,222.0,420.0,0.5589999999999999,8.936170212765957,19.91489361702128,97.45,206.0,104.0,21424.0,1998,2005,2
2000,Lawrence Funderburke,SAC,PF,29.0,75.0,1.0,1026.0,18.0,33.0,40.0,32.0,20.0,234.0,483.0,0.523,6.44,13.68,100.75,206.0,104.0,21424.0,1998,2005,3
2001,Lawrence Funderburke,SAC,PF,30.0,59.0,2.0,698.0,16.1,17.0,32.0,9.0,13.0,196.0,288.0,0.496,4.881355932203389,11.830508474576273,95.74,206.0,104.0,21424.0,1998,2005,4
2002,Lawrence Funderburke,SAC,PF,31.0,56.0,1.0,722.0,13.8,32.0,33.0,11.0,18.0,198.0,264.0,0.469,4.714285714285714,12.892857142857142,96.77,206.0,104.0,21424.0,1998,2005,5
2003,Lawrence Funderburke,SAC,PF,32.0,27.0,0.0,229.0,11.8,8.0,6.0,1.0,11.0,55.0,74.0,0.444,2.740740740740741,8.481481481481481,96.66,206.0,104.0,21424.0,1998,2005,6
1998,Mark Hendrickson,SAC,PF,23.0,48.0,1.0,737.0,9.4,41.0,31.0,26.0,9.0,143.0,163.0,0.389,3.395833333333333,15.354166666666664,93.79,206.0,99.0,20394.0,1997,2000,2
1999,Mark Hendrickson,NJN,PF,24.0,22.0,6.0,399.0,12.3,13.0,15.0,12.0,1.0,68.0,120.0,0.443,5.454545454545454,18.13636363636364,93.76,206.0,99.0,20394.0,1997,2000,3
1997,Mark Hendrickson,PHI,PF,22.0,29.0,1.0,301.0,11.5,3.0,14.0,10.0,4.0,92.0,85.0,0.416,2.931034482758621,10.379310344827584,97.15,206.0,99.0,20394.0,1997,2000,1
1998,Anthony Johnson,SAC,PG,23.0,77.0,62.0,2266.0,8.6,329.0,120.0,64.0,6.0,171.0,574.0,0.371,7.454545454545454,29.42857142857143,93.79,196.0,97.0,19012.0,1998,2010,1
2008,Anthony Johnson,SAC,PG,33.0,27.0,11.0,410.0,8.9,60.0,34.0,10.0,1.0,39.0,104.0,0.455,3.851851851851852,15.185185185185185,95.84,196.0,97.0,19012.0,1998,2010,11
2004,Anthony Johnson,IND,PG,29.0,73.0,7.0,1598.0,11.6,202.0,75.0,64.0,8.0,130.0,450.0,0.406,6.164383561643835,21.89041095890411,88.57,196.0,97.0,19012.0,1998,2010,7
2005,Anthony Johnson,IND,PG,30.0,63.0,36.0,1747.0,14.3,302.0,96.0,59.0,15.0,179.0,532.0,0.445,8.444444444444445,27.73015873015873,88.74,196.0,97.0,19012.0,1998,2010,8
2006,Anthony Johnson,IND,PG,31.0,75.0,53.0,1981.0,14.2,324.0,115.0,63.0,22.0,168.0,691.0,0.443,9.213333333333333,26.41333333333333,90.86,196.0,97.0,19012.0,1998,2010,9
2009,Anthony Johnson,ORL,PG,34.0,80.0,12.0,1481.0,10.3,200.0,82.0,46.0,5.0,147.0,421.0,0.404,5.2625,18.5125,92.99,196.0,97.0,19012.0,1998,2010,12
2010,Anthony Johnson,ORL,PG,35.0,31.0,0.0,406.0,12.4,63.0,26.0,11.0,1.0,48.0,130.0,0.441,4.193548387096774,13.096774193548386,92.56,196.0,97.0,19012.0,1998,2010,13
1999,Anthony Johnson,ATL,PG,24.0,49.0,2.0,885.0,10.6,107.0,65.0,35.0,7.0,75.0,244.0,0.404,4.979591836734694,18.061224489795922,87.14,196.0,97.0,19012.0,1998,2010,2
2000,Anthony Johnson,ATL,PG,25.0,38.0,2.0,423.0,9.2,59.0,24.0,23.0,2.0,39.0,92.0,0.35,2.421052631578948,11.13157894736842,93.58,196.0,97.0,19012.0,1998,2010,3
2001,Anthony Johnson,ATL,PG,26.0,25.0,0.0,279.0,7.2,34.0,20.0,17.0,5.0,23.0,64.0,0.366,2.56,11.16,93.63,196.0,97.0,19012.0,1998,2010,4
2007,Anthony Johnson,ATL,PG,32.0,27.0,17.0,739.0,10.3,123.0,45.0,17.0,2.0,53.0,203.0,0.416,7.518518518518517,27.37037037037037,91.01,196.0,97.0,19012.0,1998,2010,10
2008,Anthony Johnson,ATL,PG,33.0,42.0,41.0,1121.0,12.0,202.0,50.0,42.0,8.0,98.0,283.0,0.431,6.738095238095237,26.690476190476193,92.37,196.0,97.0,19012.0,1998,2010,11
2002,Anthony Johnson,NJN,SG,27.0,34.0,0.0,366.0,11.8,48.0,20.0,31.0,1.0,29.0,94.0,0.411,2.764705882352941,10.764705882352944,92.23,196.0,97.0,19012.0,1998,2010,5
2003,Anthony Johnson,NJN,PG,28.0,66.0,2.0,842.0,11.3,86.0,41.0,37.0,5.0,78.0,270.0,0.446,4.090909090909091,12.757575757575758,93.01,196.0,97.0,19012.0,1998,2010,6
2007,Anthony Johnson,DAL,PG,32.0,40.0,0.0,562.0,9.3,78.0,31.0,16.0,1.0,48.0,152.0,0.411,3.8,14.05,90.69,196.0,97.0,19012.0,1998,2010,10
2001,Anthony Johnson,CLE,PG,26.0,28.0,0.0,232.0,9.1,44.0,14.0,6.0,1.0,21.0,66.0,0.333,2.357142857142857,8.285714285714286,92.34,196.0,97.0,19012.0,1998,2010,4
1998,Michael Stewart,SAC,C,22.0,81.0,37.0,1761.0,12.9,61.0,85.0,29.0,195.0,536.0,375.0,0.48,4.62962962962963,21.740740740740737,93.79,208.0,104.0,21632.0,1998,2005,1
2003,Michael Stewart,CLE,PF,27.0,47.0,0.0,251.0,5.9,6.0,10.0,2.0,15.0,55.0,36.0,0.378,0.7659574468085106,5.340425531914893,95.35,208.0,104.0,21632.0,1998,2005,6
1999,Michael Stewart,TOR,C,23.0,42.0,2.0,394.0,8.8,5.0,12.0,4.0,28.0,99.0,61.0,0.415,1.4523809523809523,9.380952380952381,90.69,208.0,104.0,21632.0,1998,2005,2
2000,Michael Stewart,TOR,C,24.0,42.0,1.0,389.0,5.4,6.0,17.0,5.0,19.0,94.0,58.0,0.377,1.380952380952381,9.261904761904765,94.33,208.0,104.0,21632.0,1998,2005,3
2001,Michael Stewart,TOR,C,25.0,26.0,0.0,123.0,8.7,2.0,5.0,4.0,3.0,29.0,33.0,0.324,1.2692307692307692,4.730769230769232,92.26,208.0,104.0,21632.0,1998,2005,4
1998,Otis Thorpe,SAC,PF,35.0,27.0,20.0,623.0,14.4,61.0,37.0,18.0,7.0,166.0,224.0,0.459,8.296296296296296,23.074074074074073,93.79,206.0,102.0,21012.0,1985,2001,14
1998,Otis Thorpe,VAN,PF,35.0,47.0,46.0,1574.0,13.0,161.0,115.0,30.0,23.0,371.0,528.0,0.477,11.23404255319149,33.48936170212766,93.63,206.0,102.0,21012.0,1985,2001,14
2001,Otis Thorpe,CHH,PF,38.0,49.0,4.0,647.0,7.6,29.0,32.0,12.0,7.0,145.0,138.0,0.45,2.8163265306122454,13.20408163265306,91.27,206.0,102.0,21012.0,1985,2001,17
2000,Otis Thorpe,MIA,PF,37.0,51.0,1.0,777.0,11.1,33.0,59.0,26.0,9.0,166.0,279.0,0.514,5.470588235294118,15.235294117647056,91.24,206.0,102.0,21012.0,1985,2001,16
1997,Otis Thorpe,DET,C,34.0,79.0,79.0,2661.0,16.1,133.0,145.0,59.0,17.0,622.0,1036.0,0.532,13.113924050632914,33.68354430379747,86.14,206.0,102.0,21012.0,1985,2001,13
1999,Otis Thorpe,WAS,PF,36.0,49.0,38.0,1539.0,15.0,101.0,88.0,42.0,19.0,334.0,554.0,0.545,11.306122448979592,31.40816326530612,91.12,206.0,102.0,21012.0,1985,2001,15
1999,Jon Barry,SAC,SG,29.0,43.0,0.0,736.0,15.9,112.0,47.0,53.0,5.0,96.0,213.0,0.428,4.953488372093024,17.11627906976744,97.45,193.0,88.0,16984.0,1993,2006,7
2000,Jon Barry,SAC,SG,30.0,62.0,1.0,1281.0,15.9,150.0,85.0,75.0,7.0,159.0,495.0,0.465,7.983870967741934,20.661290322580644,100.75,193.0,88.0,16984.0,1993,2006,8
2001,Jon Barry,SAC,SG,31.0,62.0,2.0,1010.0,12.4,130.0,53.0,28.0,6.0,94.0,316.0,0.404,5.096774193548387,16.29032258064516,95.74,193.0,88.0,16984.0,1993,2006,9
2004,Jon Barry,DEN,SG,34.0,57.0,9.0,1101.0,14.6,147.0,53.0,57.0,8.0,123.0,351.0,0.404,6.157894736842105,19.315789473684212,94.65,193.0,88.0,16984.0,1993,2006,12
2005,Jon Barry,HOU,SG,35.0,53.0,2.0,1230.0,14.0,139.0,53.0,46.0,7.0,138.0,372.0,0.447,7.018867924528303,23.20754716981132,90.2,193.0,88.0,16984.0,1993,2006,13
1997,Jon Barry,ATL,SG,27.0,58.0,8.0,965.0,13.2,115.0,59.0,55.0,3.0,99.0,285.0,0.407,4.913793103448277,16.637931034482758,88.7,193.0,88.0,16984.0,1993,2006,5
1998,Jon Barry,LAL,SG,28.0,49.0,1.0,374.0,13.3,51.0,22.0,24.0,3.0,37.0,121.0,0.365,2.4693877551020407,7.632653061224491,94.87,193.0,88.0,16984.0,1993,2006,6
